type	pre-condition	post-condition	confidence	SDC
Pattern	"95 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9997826515175107	(('pattern', 1, '2021-01-25 00:00:00.000', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.95), ('pattern', 0), 3.141592653589793, 0.00021734848248937066, (0, 17671, 180709, 0))
Pattern	"80 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9995874257069917	(('pattern', 1, '2020-12-07 00:00:00.000', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.8), ('pattern', 0), 3.120316258495214, 0.00041257429300836716, (2, 17671, 180707, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""january"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""january"" > 1.375"	0.9988864416267692	(('sbert', 1, 'january', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.1563087824549607, 0.0011135583732308175, (0, 3446, 58215, 136719))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""january"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""january"" > 1.4000000000000001"	0.9988864416267692	(('sbert', 1, 'january', 0.8, 1.2000000000000002), ('sbert', 1.4000000000000001), 0.9043992152936925, 0.0011135583732308175, (0, 3446, 37217, 157717))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""tuesday"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""tuesday"" > 1.4000000000000001"	0.9988351168837217	(('sbert', 1, 'tuesday', 0.8, 1.2000000000000002), ('sbert', 1.4000000000000001), 0.8819090256588417, 0.0011648831162782349, (0, 3294, 35537, 159549))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""tuesday"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""tuesday"" > 1.375"	0.9988351168837217	(('sbert', 1, 'tuesday', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.1632045565164797, 0.0011648831162782349, (0, 3294, 58877, 136209))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""ca"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""ca"" > 1.35"	0.9984049189351247	(('sbert', 1, 'ca', 0.8, 1.2000000000000002), ('sbert', 1.35), 0.9386812301493624, 0.0015950810648752188, (3, 5523, 43139, 149715))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""february"" < 1.0"	"values whose Sentence-BERT embedding distance to ""february"" > 1.3250000000000002"	0.9983602818047964	(('sbert', 1, 'february', 0.8, 1.0), ('sbert', 1.3250000000000002), 1.4570186300200658, 0.0016397181952036363, (0, 2339, 86892, 109149))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""sunday"" < 1.1"	"values whose Sentence-BERT embedding distance to ""sunday"" > 1.2750000000000001"	0.9983490066534826	(('sbert', 1, 'sunday', 0.8, 1.1), ('sbert', 1.2750000000000001), 2.2464858197579294, 0.0016509933465174425, (0, 2323, 159339, 36718))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""co"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""co"" > 1.375"	0.9980177312856043	(('sbert', 1, 'co', 0.8, 1.2000000000000002), ('sbert', 1.375), 0.8144268872005641, 0.0019822687143956816, (7, 7278, 34407, 156688))
Embedding	"80 % column values have their Glove embedding distance to ""new"" < 4.5"	"values whose Glove embedding distance to ""new"" > 11.0"	0.9979821850725397	(('embed', 1, 'new', 0.8, 4.5), ('embed', 11.0), 1.5185025448053573, 0.002017814927460352, (0, 1900, 93105, 103375))
Embedding	"80 % column values have their Glove embedding distance to ""new"" < 4.5"	"values whose Glove embedding distance to ""new"" > 9.5"	0.9979821850725397	(('embed', 1, 'new', 0.8, 4.5), ('embed', 9.5), 1.5193689376749635, 0.002017814927460352, (0, 1900, 93190, 103290))
Embedding	"80 % column values have their Glove embedding distance to ""new"" < 4.5"	"values whose Glove embedding distance to ""new"" > 8.5"	0.9979821850725397	(('embed', 1, 'new', 0.8, 4.5), ('embed', 8.5), 1.5321466398942445, 0.002017814927460352, (0, 1900, 94444, 102036))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""june"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""june"" > 1.35"	0.9979228656638165	(('sbert', 1, 'june', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.1395654692441, 0.002077134336183534, (2, 3505, 60982, 133891))
