type	pre-condition	post-condition	confidence	SDC
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""ne"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""ne"" > 1.375"	0.9984619323535519	(('sbert', 1, 'ne', 0.8, 1.2000000000000002), ('sbert', 1.375), 0.9982833509936846, 0.0015380676464481296, (3, 5728, 72768, 219900))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""se"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""se"" > 1.375"	0.9978118528511826	(('sbert', 1, 'se', 0.8, 1.2000000000000002), ('sbert', 1.375), 0.9670985795755154, 0.0021881471488174003, (5, 5340, 70876, 222178))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""lebanon"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""lebanon"" > 1.425"	0.9976415140674206	(('sbert', 1, 'lebanon', 0.8, 1.2000000000000002), ('sbert', 1.425), 0.8229524384352788, 0.002358485932579325, (0, 1625, 47475, 249299))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""ne"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""ne"" > 1.35"	0.997480696090198	(('sbert', 1, 'ne', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.3191204867225064, 0.0025193039098020315, (7, 5724, 119882, 172786))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""gd"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""gd"" > 1.35"	0.9966086481103501	(('sbert', 1, 'gd', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.1722908543765334, 0.0033913518896499127, (5, 3442, 100761, 194191))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4.5"	"values whose Doduo ""team""-classifier scores <= -2.5"""	0.9965006726864557	(('doduo', 'team', 0.8, 4.5), ('doduo', -2.5), 0.8924825024304578, 0.003499327313544302, (2, 2078, 62522, 233797))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""other"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""other"" > 1.375"	0.9963531276128635	(('sbert', 1, 'other', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.5649566437236948, 0.0036468723871365106, (4, 2812, 158063, 137520))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""lebanon"" < 1.1"	"values whose Sentence-BERT embedding distance to ""lebanon"" > 1.4000000000000001"	0.9958372054315714	(('sbert', 1, 'lebanon', 0.8, 1.1), ('sbert', 1.4000000000000001), 1.2004839166846486, 0.0041627945684286445, (0, 919, 94910, 202570))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4.5"	"values whose Doduo ""team""-classifier scores <= -2"""	0.9957678086531366	(('doduo', 'team', 0.8, 4.5), ('doduo', -2), 1.218958205717306, 0.004232191346863331, (3, 2077, 107804, 188515))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""ne"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""ne"" > 1.3250000000000002"	0.9954694419822245	(('sbert', 1, 'ne', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.6609099945422625, 0.004530558017775456, (16, 5715, 174809, 117859))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4"	"values whose Doduo ""team""-classifier scores <= -2"""	0.9952253839801789	(('doduo', 'team', 0.8, 4), ('doduo', -2), 1.2054185415580152, 0.00477461601982109, (5, 2442, 107802, 188150))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""ba"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""ba"" > 1.35"	0.995201487249507	(('sbert', 1, 'ba', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.2307140408103605, 0.004798512750493002, (15, 5137, 112895, 180352))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""canada"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""canada"" > 1.4000000000000001"	0.9948810959254045	(('sbert', 1, 'canada', 0.8, 1.2000000000000002), ('sbert', 1.4000000000000001), 0.8568326080816765, 0.005118904074595459, (7, 2811, 62613, 232968))
Pattern	"99 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9945343152166776	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.99), ('pattern', 0), 3.0177007279280796, 0.005465684783322413, (30, 7798, 290571, 0))
Pattern	"98 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9940880236084682	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.98), ('pattern', 0), 3.0116703096702206, 0.005911976391531859, (33, 7798, 290568, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""virginia"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""virginia"" > 1.4000000000000001"	0.9940434110835502	(('sbert', 1, 'virginia', 0.8, 1.2000000000000002), ('sbert', 1.4000000000000001), 0.9612074147213548, 0.005956588916449822, (6, 2187, 76459, 219747))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""hong kong"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""hong kong"" > 1.4000000000000001"	0.9937385832666186	(('sbert', 1, 'hong kong', 0.8, 1.2000000000000002), ('sbert', 1.4000000000000001), 1.0105152463658116, 0.00626141673338141, (6, 2080, 83318, 212995))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""peter"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""peter"" > 1.35"	0.9936645989553877	(('sbert', 1, 'peter', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.913741537380344, 0.006335401044612316, (5, 1838, 212395, 84161))
Pattern	"97 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9936449422963509	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.97), ('pattern', 0), 3.005910525343153, 0.006355057703649092, (36, 7798, 290565, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""argentina"" < 1.1"	"values whose Sentence-BERT embedding distance to ""argentina"" > 1.4000000000000001"	0.9933893740527177	(('sbert', 1, 'argentina', 0.8, 1.1), ('sbert', 1.4000000000000001), 0.9070897012460308, 0.0066106259472823795, (1, 852, 65358, 232188))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""thailand"" < 1.1"	"values whose Sentence-BERT embedding distance to ""thailand"" > 1.4000000000000001"	0.9933344567340331	(('sbert', 1, 'thailand', 0.8, 1.1), ('sbert', 1.4000000000000001), 1.0109005665074318, 0.0066655432659668955, (2, 1088, 80775, 216534))
CTA	"80 % column values have their Doduo ""state""-classifier scores >= 4.5"	"values whose Doduo ""state""-classifier scores <= -2.5"""	0.9928377686774664	(('doduo', 'state', 0.8, 4.5), ('doduo', -2.5), 0.8826273304065018, 0.007162231322533546, (1, 786, 62725, 234887))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""se"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""se"" > 1.3250000000000002"	0.9922187139594416	(('sbert', 1, 'se', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.5541854310973877, 0.007781286040558442, (29, 5316, 165644, 127410))
Pattern	"99 % of values match pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9921094007405289	(('pattern', 1, '6:2:1', '^[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.99), ('pattern', 0), 2.992659139773161, 0.007890599259471137, (30, 5390, 292979, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""canada"" < 1.1"	"values whose Sentence-BERT embedding distance to ""canada"" > 1.375"	0.9915641694367286	(('sbert', 1, 'canada', 0.8, 1.1), ('sbert', 1.375), 1.2096864050250138, 0.008435830563271301, (7, 1701, 114095, 182596))
CTA	"80 % column values have their Doduo ""country""-classifier scores >= 4"	"values whose Doduo ""country""-classifier scores <= -2.5"""	0.9915603866320064	(('doduo', 'country', 0.8, 4), ('doduo', -2.5), 1.3109063044873026, 0.008439613367993627, (2, 858, 124568, 172971))
CTA	"80 % column values have their Doduo ""country""-classifier scores >= 4"	"values whose Doduo ""country""-classifier scores <= -2"""	0.9915603866320064	(('doduo', 'country', 0.8, 4), ('doduo', -2), 1.564622917767653, 0.008439613367993627, (2, 858, 162187, 135352))
CTA	"80 % column values have their Doduo ""state""-classifier scores >= 4"	"values whose Doduo ""state""-classifier scores <= -2.5"""	0.991339915358495	(('doduo', 'state', 0.8, 4), ('doduo', -2.5), 0.8562697644948627, 0.008660084641505047, (2, 836, 62724, 234837))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""france"" < 1.1"	"values whose Sentence-BERT embedding distance to ""france"" > 1.375"	0.9904980844340784	(('sbert', 1, 'france', 0.8, 1.1), ('sbert', 1.375), 1.0783032897053844, 0.009501915565921613, (4, 1074, 94821, 202500))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""argentina"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""argentina"" > 1.375"	0.9902736881016267	(('sbert', 1, 'argentina', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.1487119385248636, 0.009726311898373266, (12, 2139, 108249, 187999))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""british columbia"" < 1.1"	"values whose Sentence-BERT embedding distance to ""british columbia"" > 1.3250000000000002"	0.9902458247173483	(('sbert', 1, 'british columbia', 0.8, 1.1), ('sbert', 1.3250000000000002), 2.6651694752880295, 0.009754175282651703, (0, 390, 281416, 16593))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""france"" < 1.0"	"values whose Sentence-BERT embedding distance to ""france"" > 1.35"	0.9899917049116094	(('sbert', 1, 'france', 0.8, 1.0), ('sbert', 1.35), 1.513584202527565, 0.010008295088390629, (0, 380, 140489, 157530))
Embedding	"80 % column values have their Glove embedding distance to ""peter"" < 5.0"	"values whose Glove embedding distance to ""peter"" > 12.0"	0.9899904243900398	(('embed', 1, 'peter', 0.8, 5.0), ('embed', 12.0), 1.6363140005775223, 0.010009575609960238, (1, 561, 171159, 126678))
Embedding	"80 % column values have their Glove embedding distance to ""peter"" < 5.0"	"values whose Glove embedding distance to ""peter"" > 8.5"	0.9899904243900398	(('embed', 1, 'peter', 0.8, 5.0), ('embed', 8.5), 1.6559711509186976, 0.010009575609960238, (1, 561, 174049, 123788))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""canada"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""canada"" > 1.375"	0.9899252253481895	(('sbert', 1, 'canada', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.1806874566173535, 0.010074774651810493, (18, 2800, 114084, 181497))
Pattern	"98 % of values match pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.989775203621188	(('pattern', 1, '6:2:1', '^[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.98), ('pattern', 0), 2.967600375351892, 0.010224796378811962, (41, 5390, 292968, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""minnesota"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""minnesota"" > 1.375"	0.9894621265685754	(('sbert', 1, 'minnesota', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.3055821046418323, 0.01053787343142467, (24, 3358, 133291, 161726))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""en"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""en"" > 1.3250000000000002"	0.9893061470899991	(('sbert', 1, 'en', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.3930661308255436, 0.010693852910000873, (31, 4076, 146594, 147698))
